FIPS Code,State and area,Year,Month,Civilian non-institutional population,Civilian labor force Total,Civilian labor force Percent of population,Civilian labor force Employment Total,Civilian labor force Employment Percent of population,Civilian labor force Unemployment Total,Civilian labor force Unemployment Rate
42,Pennsylvania,2000,7,9482949,6195106,65.3,5927834,62.5,267272,4.3
44,Rhode Island,2000,7,812307,550670,67.8,526377,64.8,24293,4.4
45,South Carolina,2000,7,3028366,2016937,66.6,1937989,64,78948,3.9
46,South Dakota,2000,7,561458,417367,74.3,408019,72.7,9348,2.2
47,Tennessee,2000,7,4359743,2853454,65.5,2741061,62.9,112393,3.9
48,Texas,2000,7,15205794,10386886,68.3,9917421,65.2,469465,4.5
49,Utah,2000,7,1583044,1152191,72.8,1110553,70.2,41638,3.6
50,Vermont,2000,7,474208,336105,70.9,326915,68.9,9190,2.7
51,Virginia,2000,7,5303617,3636130,68.6,3549391,66.9,86739,2.4
53,Washington,2000,7,4465758,3077981,68.9,2922080,65.4,155901,5.1
54,West Virginia,2000,7,1430344,817029,57.1,775020,54.2,42009,5.1
55,Wisconsin,2000,7,4086610,3011783,73.7,2901484,71,110299,3.7
56,Wyoming,2000,7,372630,272210,73.1,262929,70.6,9281,3.4
1,Alabama,2000,8,3381310,2131694,63,2025248,59.9,106446,5
2,Alaska,2000,8,435991,325040,74.6,308023,70.6,17017,5.2
4,Arizona,2000,8,3858859,2504916,64.9,2391290,62,113626,4.5
5,Arkansas,2000,8,2028445,1260453,62.1,1208904,59.6,51549,4.1
6,California,2000,8,25159823,16954865,67.4,16100302,64,854563,5
37,Los Angeles County,2000,8,7070021,4691543,66.4,4421542,62.5,270001,5.8
8,Colorado,2000,8,3273219,2371561,72.5,2306307,70.5,65254,2.8
9,Connecticut,2000,8,2596443,1780568,68.6,1738942,67,41626,2.3
10,Delaware,2000,8,597988,418141,69.9,402011,67.2,16130,3.9
11,District of Columbia,2000,8,457542,313160,68.4,295394,64.6,17766,5.7
12,Florida,2000,8,12508314,7922031,63.3,7588377,60.7,333654,4.2
13,Georgia,2000,8,6109604,4225059,69.2,4060662,66.5,164397,3.9
15,Hawaii,2000,8,899321,604869,67.3,579455,64.4,25414,4.2
16,Idaho,2000,8,953178,665728,69.8,637408,66.9,28320,4.3
17,Illinois,2000,8,9350076,6500155,69.5,6209714,66.4,290441,4.5
18,Indiana,2000,8,4604966,3121849,67.8,3025659,65.7,96190,3.1
19,Iowa,2000,8,2234016,1585860,71,1546437,69.2,39423,2.5
20,Kansas,2000,8,2002725,1396104,69.7,1343054,67.1,53050,3.8
21,Kentucky,2000,8,3089097,1956769,63.3,1879746,60.9,77023,3.9
22,Louisiana,2000,8,3290371,2036301,61.9,1918447,58.3,117854,5.8
23,Maine,2000,8,995112,693461,69.7,675352,67.9,18109,2.6
24,Maryland,2000,8,3999344,2814740,70.4,2707764,67.7,106976,3.8
25,Massachusetts,2000,8,4932825,3355518,68,3272344,66.3,83174,2.5
26,Michigan,2000,8,7523894,5176326,68.8,4982716,66.2,193610,3.7
27,Minnesota,2000,8,3736180,2835391,75.9,2752213,73.7,83178,2.9
28,Mississippi,2000,8,2097691,1312692,62.6,1243282,59.3,69410,5.3
29,Missouri,2000,8,4238910,2945788,69.5,2835218,66.9,110570,3.8
30,Montana,2000,8,687647,475409,69.1,454495,66.1,20914,4.4
31,Nebraska,2000,8,1284599,947819,73.8,922095,71.8,25724,2.7
32,Nevada,2000,8,1528991,1076547,70.4,1033629,67.6,42918,4
33,New Hampshire,2000,8,951558,697807,73.3,679508,71.4,18299,2.6
34,New Jersey,2000,8,6445735,4305260,66.8,4142033,64.3,163227,3.8
35,New Mexico,2000,8,1342658,848084,63.2,806417,60.1,41667,4.9
36,New York,2000,8,14553944,9181351,63.1,8771062,60.3,410289,4.5
51000,New York city,2000,8,6209470,3670648,59.1,3456498,55.7,214150,5.8
37,North Carolina,2000,8,6122225,4160167,68,3992633,65.2,167534,4
38,North Dakota,2000,8,484699,350401,72.3,340525,70.3,9876,2.8
39,Ohio,2000,8,8628086,5831046,67.6,5595175,64.8,235871,4
40,Oklahoma,2000,8,2581871,1658971,64.3,1609072,62.3,49899,3
41,Oregon,2000,8,2645715,1841333,69.6,1745063,66,96270,5.2
42,Pennsylvania,2000,8,9486837,6161123,64.9,5900471,62.2,260652,4.2
44,Rhode Island,2000,8,812996,548740,67.5,525443,64.6,23297,4.2
45,South Carolina,2000,8,3031799,2008078,66.2,1924212,63.5,83866,4.2
46,South Dakota,2000,8,561921,413043,73.5,403557,71.8,9486,2.3
47,Tennessee,2000,8,4363746,2833951,64.9,2716139,62.2,117812,4.2
48,Texas,2000,8,15232085,10344547,67.9,9885445,64.9,459102,4.4
49,Utah,2000,8,1586352,1153052,72.7,1109999,70,43053,3.7
50,Vermont,2000,8,474629,335639,70.7,326859,68.9,8780,2.6
51,Virginia,2000,8,5310692,3603124,67.8,3517539,66.2,85585,2.4
53,Washington,2000,8,4472133,3058578,68.4,2899863,64.8,158715,5.2
54,West Virginia,2000,8,1430132,808562,56.5,766545,53.6,42017,5.2
55,Wisconsin,2000,8,4090566,2993932,73.2,2889906,70.6,104026,3.5
56,Wyoming,2000,8,372824,270628,72.6,261379,70.1,9249,3.4
1,Alabama,2000,9,3382833,2123398,62.8,2028106,60,95292,4.5
2,Alaska,2000,9,436686,319338,73.1,301542,69.1,17796,5.6
4,Arizona,2000,9,3868349,2511007,64.9,2409529,62.3,101478,4
5,Arkansas,2000,9,2029809,1251025,61.6,1203405,59.3,47620,3.8
6,California,2000,9,25198907,16888364,67,16107485,63.9,780879,4.6
37,Los Angeles County,2000,9,7076780,4685854,66.2,4435981,62.7,249873,5.3
