FIPS Code,State and area,Year,Month,Civilian non-institutional population,Civilian labor force Total,Civilian labor force Percent of population,Civilian labor force Employment Total,Civilian labor force Employment Percent of population,Civilian labor force Unemployment Total,Civilian labor force Unemployment Rate
22,Louisiana,1976,11,2734000,1546887,56.6,1447335,52.9,99552,6.4
23,Maine,1976,11,780000,475369,60.9,433555,55.6,41814,8.8
24,Maryland,1976,11,2997000,1934823,64.6,1801984,60.1,132839,6.9
25,Massachusetts,1976,11,4227000,2736367,64.7,2508182,59.3,228185,8.3
26,Michigan,1976,11,6485000,4031985,62.2,3691660,56.9,340325,8.4
27,Minnesota,1976,11,2831000,1881605,66.5,1782672,63,98933,5.3
28,Mississippi,1976,11,1670000,983596,58.9,919658,55.1,63938,6.5
29,Missouri,1976,11,3505000,2160529,61.6,2026024,57.8,134505,6.2
30,Montana,1976,11,542000,333563,61.5,314061,57.9,19502,5.8
31,Nebraska,1976,11,1106000,725329,65.6,704969,63.7,20360,2.8
32,Nevada,1976,11,474000,334915,70.7,307350,64.8,27565,8.2
33,New Hampshire,1976,11,610000,402795,66,379329,62.2,23466,5.8
34,New Jersey,1976,11,5403000,3347400,62,2999543,55.5,347857,10.4
35,New Mexico,1976,11,820000,498931,60.8,456312,55.6,42619,8.5
36,New York,1976,11,13235000,7667046,57.9,6884746,52,782300,10.2
51000,New York city,1976,11,5660000,3088148,54.6,2744293,48.5,343855,11.1
37,North Carolina,1976,11,3971000,2616209,65.9,2450239,61.7,165970,6.3
38,North Dakota,1976,11,449000,276845,61.7,266739,59.4,10106,3.7
39,Ohio,1976,11,7759000,4788180,61.7,4435378,57.2,352802,7.4
40,Oklahoma,1976,11,2038000,1206090,59.2,1144006,56.1,62084,5.1
41,Oregon,1976,11,1761000,1121955,63.7,1022620,58.1,99335,8.9
42,Pennsylvania,1976,11,8835000,5159256,58.4,4766386,53.9,392870,7.6
44,Rhode Island,1976,11,700000,443235,63.3,407182,58.2,36053,8.1
45,South Carolina,1976,11,2027000,1294692,63.9,1204940,59.4,89752,6.9
46,South Dakota,1976,11,483000,310809,64.3,301051,62.3,9758,3.1
47,Tennessee,1976,11,3142000,1908085,60.7,1789878,57,118207,6.2
48,Texas,1976,11,9067000,5819488,64.2,5506207,60.7,313281,5.4
49,Utah,1976,11,847000,540413,63.8,513501,60.6,26912,5
50,Vermont,1976,11,346000,218966,63.3,201586,58.3,17380,7.9
51,Virginia,1976,11,3612000,2339467,64.8,2210376,61.2,129091,5.5
53,Washington,1976,11,2664000,1666055,62.5,1517959,57,148096,8.9
54,West Virginia,1976,11,1378000,691979,50.2,649580,47.1,42399,6.1
55,Wisconsin,1976,11,3286000,2164697,65.9,2054510,62.5,110187,5.1
56,Wyoming,1976,11,280000,184287,65.8,177573,63.4,6714,3.6
1,Alabama,1976,12,2659000,1525376,57.4,1424960,53.6,100416,6.6
2,Alaska,1976,12,245000,164747,67.2,150464,61.4,14283,8.7
4,Arizona,1976,12,1684000,1016480,60.4,927518,55.1,88962,8.8
5,Arkansas,1976,12,1561000,896819,57.5,839360,53.8,57459,6.4
6,California,1976,12,16029000,10093581,63,9179358,57.3,914223,9.1
37,Los Angeles County,1976,12,5356000,3440804,64.2,3139980,58.6,300824,8.7
8,Colorado,1976,12,1887000,1262191,66.9,1185039,62.8,77152,6.1
9,Connecticut,1976,12,2272000,1460269,64.3,1345751,59.2,114518,7.8
10,Delaware,1976,12,424000,268227,63.3,244152,57.6,24075,9
11,District of Columbia,1976,12,515000,329598,64,299987,58.2,29611,9
12,Florida,1976,12,6602000,3609332,54.7,3295378,49.9,313954,8.7
13,Georgia,1976,12,3597000,2331051,64.8,2147650,59.7,183401,7.9
15,Hawaii,1976,12,600000,409751,68.3,378430,63.1,31321,7.6
16,Idaho,1976,12,599000,382499,63.9,361023,60.3,21476,5.6
17,Illinois,1976,12,8226000,5180914,63,4851373,59,329541,6.4
18,Indiana,1976,12,3837000,2425284,63.2,2296415,59.8,128869,5.3
19,Iowa,1976,12,2095000,1355564,64.7,1300162,62.1,55402,4.1
20,Kansas,1976,12,1660000,1088020,65.5,1044509,62.9,43511,4
21,Kentucky,1976,12,2511000,1500204,59.7,1432374,57,67830,4.5
22,Louisiana,1976,12,2740000,1530573,55.9,1433375,52.3,97198,6.4
23,Maine,1976,12,781000,475803,60.9,433805,55.5,41998,8.8
24,Maryland,1976,12,3002000,1928019,64.2,1802645,60,125374,6.5
25,Massachusetts,1976,12,4231000,2727203,64.5,2502249,59.1,224954,8.2
26,Michigan,1976,12,6493000,4022755,62,3685306,56.8,337449,8.4
27,Minnesota,1976,12,2835000,1874524,66.1,1766627,62.3,107897,5.8
28,Mississippi,1976,12,1673000,983303,58.8,922061,55.1,61242,6.2
29,Missouri,1976,12,3509000,2164817,61.7,2019577,57.6,145240,6.7
30,Montana,1976,12,543000,332329,61.2,311692,57.4,20637,6.2
31,Nebraska,1976,12,1107000,723601,65.4,701391,63.4,22210,3.1
32,Nevada,1976,12,476000,334300,70.2,306016,64.3,28284,8.5
33,New Hampshire,1976,12,612000,402044,65.7,379012,61.9,23032,5.7
34,New Jersey,1976,12,5407000,3353297,62,3010400,55.7,342897,10.2
35,New Mexico,1976,12,823000,498383,60.6,458025,55.7,40358,8.1
36,New York,1976,12,13237000,7650657,57.8,6888915,52,761742,10
51000,New York city,1976,12,5654000,3073692,54.4,2743461,48.5,330231,10.7
37,North Carolina,1976,12,3978000,2621025,65.9,2460649,61.9,160376,6.1
38,North Dakota,1976,12,450000,275521,61.2,263673,58.6,11848,4.3
39,Ohio,1976,12,7766000,4759400,61.3,4413408,56.8,345992,7.3
40,Oklahoma,1976,12,2041000,1198395,58.7,1134859,55.6,63536,5.3
41,Oregon,1976,12,1766000,1111032,62.9,1014294,57.4,96738,8.7
42,Pennsylvania,1976,12,8841000,5162129,58.4,4763483,53.9,398646,7.7
44,Rhode Island,1976,12,701000,442293,63.1,405799,57.9,36494,8.3
45,South Carolina,1976,12,2032000,1288195,63.4,1200906,59.1,87289,6.8
46,South Dakota,1976,12,484000,307248,63.5,296760,61.3,10488,3.4
47,Tennessee,1976,12,3148000,1905923,60.5,1790822,56.9,115101,6
48,Texas,1976,12,9091000,5828989,64.1,5526033,60.8,302956,5.2
49,Utah,1976,12,850000,537887,63.3,512005,60.2,25882,4.8
50,Vermont,1976,12,347000,218971,63.1,202946,58.5,16025,7.3
51,Virginia,1976,12,3620000,2346102,64.8,2216821,61.2,129281,5.5
53,Washington,1976,12,2671000,1661386,62.2,1512822,56.6,148564,8.9
54,West Virginia,1976,12,1381000,693805,50.2,650197,47.1,43608,6.3
55,Wisconsin,1976,12,3290000,2152059,65.4,2046407,62.2,105652,4.9
56,Wyoming,1976,12,281000,184328,65.6,177019,63,7309,4
1,Alabama,1977,1,2663000,1507250,56.6,1394567,52.4,112683,7.5
2,Alaska,1977,1,245000,165461,67.5,148185,60.5,17276,10.4
4,Arizona,1977,1,1690000,1012903,59.9,909023,53.8,103880,10.3
5,Arkansas,1977,1,1565000,886933,56.7,815876,52.1,71057,8
6,California,1977,1,16066000,10071308,62.7,9068260,56.4,1003048,10
37,Los Angeles County,1977,1,5362000,3411064,63.6,3092245,57.7,318819,9.3
8,Colorado,1977,1,1892000,1244956,65.8,1160293,61.3,84663,6.8
9,Connecticut,1977,1,2274000,1449726,63.8,1323074,58.2,126652,8.7
10,Delaware,1977,1,425000,267512,62.9,239224,56.3,28288,10.6
11,District of Columbia,1977,1,515000,326422,63.4,296124,57.5,30298,9.3
12,Florida,1977,1,6619000,3555061,53.7,3213005,48.5,342056,9.6
13,Georgia,1977,1,3605000,2291417,63.6,2104061,58.4,187356,8.2
15,Hawaii,1977,1,601000,414165,68.9,378310,62.9,35855,8.7
16,Idaho,1977,1,601000,380453,63.3,350282,58.3,30171,7.9
17,Illinois,1977,1,8235000,5087127,61.8,4758367,57.8,328760,6.5
18,Indiana,1977,1,3842000,2405897,62.6,2257110,58.7,148787,6.2
19,Iowa,1977,1,2098000,1349104,64.3,1283127,61.2,65977,4.9
20,Kansas,1977,1,1662000,1083916,65.2,1031753,62.1,52163,4.8
21,Kentucky,1977,1,2516000,1483693,59,1401999,55.7,81694,5.5
22,Louisiana,1977,1,2745000,1514693,55.2,1394795,50.8,119898,7.9
23,Maine,1977,1,782000,470530,60.2,422145,54,48385,10.3
24,Maryland,1977,1,3006000,1927802,64.1,1783623,59.3,144179,7.5
25,Massachusetts,1977,1,4234000,2711889,64.1,2455382,58,256507,9.5
26,Michigan,1977,1,6501000,3989379,61.4,3605528,55.5,383851,9.6
27,Minnesota,1977,1,2839000,1862573,65.6,1734895,61.1,127678,6.9
28,Mississippi,1977,1,1676000,963835,57.5,897162,53.5,66673,6.9
29,Missouri,1977,1,3513000,2143659,61,1989397,56.6,154262,7.2
30,Montana,1977,1,544000,332937,61.2,307493,56.5,25444,7.6
31,Nebraska,1977,1,1108000,722201,65.2,693205,62.6,28996,4
32,Nevada,1977,1,478000,337379,70.6,303327,63.5,34052,10.1
33,New Hampshire,1977,1,614000,406265,66.2,376674,61.3,29591,7.3
34,New Jersey,1977,1,5411000,3323639,61.4,2944319,54.4,379320,11.4
35,New Mexico,1977,1,825000,492858,59.7,445395,54,47463,9.6
36,New York,1977,1,13238000,7609636,57.5,6799862,51.4,809774,10.6
51000,New York city,1977,1,5649000,3058905,54.1,2723688,48.2,335217,11
37,North Carolina,1977,1,3986000,2571625,64.5,2388401,59.9,183224,7.1
38,North Dakota,1977,1,450000,273887,60.9,258804,57.5,15083,5.5
39,Ohio,1977,1,7773000,4713994,60.6,4322321,55.6,391673,8.3
40,Oklahoma,1977,1,2045000,1192619,58.3,1117350,54.6,75269,6.3
41,Oregon,1977,1,1772000,1110793,62.7,994553,56.1,116240,10.5
42,Pennsylvania,1977,1,8847000,5109337,57.8,4657256,52.6,452081,8.8
44,Rhode Island,1977,1,701000,440570,62.8,396702,56.6,43868,10
45,South Carolina,1977,1,2036000,1285721,63.1,1186793,58.3,98928,7.7
46,South Dakota,1977,1,484000,303630,62.7,290218,60,13412,4.4
47,Tennessee,1977,1,3154000,1874324,59.4,1744814,55.3,129510,6.9
48,Texas,1977,1,9114000,5801716,63.7,5443952,59.7,357764,6.2
49,Utah,1977,1,852000,533761,62.6,500194,58.7,33567,6.3
50,Vermont,1977,1,348000,218806,62.9,199035,57.2,19771,9
51,Virginia,1977,1,3627000,2329132,64.2,2182810,60.2,146322,6.3
53,Washington,1977,1,2678000,1652345,61.7,1477246,55.2,175099,10.6
54,West Virginia,1977,1,1383000,684650,49.5,632986,45.8,51664,7.5
55,Wisconsin,1977,1,3295000,2133352,64.7,2004768,60.8,128584,6
56,Wyoming,1977,1,282000,184154,65.3,174352,61.8,9802,5.3
1,Alabama,1977,2,2668000,1538223,57.7,1399696,52.5,138527,9
2,Alaska,1977,2,246000,167800,68.2,148673,60.4,19127,11.4
4,Arizona,1977,2,1697000,1009803,59.5,919948,54.2,89855,8.9
5,Arkansas,1977,2,1568000,906693,57.8,836873,53.4,69820,7.7
6,California,1977,2,16104000,10136433,62.9,9134914,56.7,1001519,9.9
37,Los Angeles County,1977,2,5367000,3432087,63.9,3118888,58.1,313199,9.1
8,Colorado,1977,2,1898000,1263420,66.6,1163469,61.3,99951,7.9
9,Connecticut,1977,2,2276000,1452913,63.8,1325253,58.2,127660,8.8
10,Delaware,1977,2,426000,269048,63.2,239617,56.2,29431,10.9
11,District of Columbia,1977,2,514000,327561,63.7,297232,57.8,30329,9.3
12,Florida,1977,2,6637000,3571271,53.8,3253735,49,317536,8.9
13,Georgia,1977,2,3613000,2308275,63.9,2115177,58.5,193098,8.4
15,Hawaii,1977,2,603000,412827,68.5,379139,62.9,33688,8.2
16,Idaho,1977,2,603000,381388,63.2,352376,58.4,29012,7.6
17,Illinois,1977,2,8244000,5123416,62.1,4786419,58.1,336997,6.6
18,Indiana,1977,2,3847000,2427498,63.1,2253217,58.6,174281,7.2
19,Iowa,1977,2,2100000,1356718,64.6,1290735,61.5,65983,4.9
20,Kansas,1977,2,1664000,1084853,65.2,1034909,62.2,49944,4.6
21,Kentucky,1977,2,2520000,1506989,59.8,1407481,55.9,99508,6.6
22,Louisiana,1977,2,2751000,1522373,55.3,1412204,51.3,110169,7.2
23,Maine,1977,2,784000,471322,60.1,421349,53.7,49973,10.6
