state,date,gdp,gdp_growth_rate,unemployment_rate,edu_attainment
"Indiana","2012","297816.1","0.4","8.34","20.94",
"Iowa","2012","157838.6","3.7","5.04","23.4",
"Kansas","2012","140764.1","1.4","5.73","26.76",
"Kentucky","2012","176323.1","1.2","8.16","19.19",
"Louisiana","2012","233481.2","-0.3","7.07","18.91",
"Maine","2012","52866.6","-0.4","7.47","24.48",
"Maryland","2012","334555.5","0.2","6.97","33.58",
"Massachusetts","2012","444478.2","2.1","6.67","35.88",
"Michigan","2012","418742.3","1.8","9.12","23.57",
"Minnesota","2012","296272.5","1.4","5.61","29.78",
"Mississippi","2012","99616.3","0.9","8.99","17.08",
"Missouri","2012","268861.9","1","6.94","23.44",
"Montana","2012","42041.6","1.3","5.98","25.93",
"Nebraska","2012","102605.3","-0.1","4","25.57",
"Nevada","2012","127789.1","-1.5","11.16","20.51",
"New Hampshire","2012","67635.7","1.2","5.5","31",
"New Jersey","2012","519569","1.7","9.33","33.79",
"New Mexico","2012","87644.8","0.5","7.13","22.85",
"New York","2012","1323400.8","4.2","8.52","30.24",
"North Carolina","2012","439539.7","0.3","9.28","24.26",
"North Dakota","2012","51624.6","22.3","3.06","22.74",
"Ohio","2012","540882.4","0.8","7.39","23.31",
"Oklahoma","2012","173238.8","4.9","5.24","21.06",
"Oregon","2012","174427.6","0.3","8.84","27.24",
"Pennsylvania","2012","640663.1","1.5","7.82","25.82",
"Rhode Island","2012","51607.4","0.7","10.39","28.59",
"South Carolina","2012","175328.5","0.7","9.2","22.54",
"South Dakota","2012","43550.7","1.4","4.28","22.67",
"Tennessee","2012","283482","3.2","7.83","22.01",
"Texas","2012","1410447.8","5","6.72","23.91",
"Utah","2012","128764.2","1.2","5.4","28.3",
"Vermont","2012","28893.6","0.6","4.95","29.82",
"Virginia","2012","445120.7","0.6","6.06","32.41",
"Washington","2012","400623.3","3.2","8.12","29.13",
"West Virginia","2012","69335.6","-0.3","7.49","16.3",
"Wisconsin","2012","274540.5","1.4","7.05","23.74",
"Wyoming","2012","38437.7","-2.5","5.32","21.89",
"Alabama","2013","188814.2","1.2","7.22","20.89",
"Alaska","2013","54748.1","-5.1","6.98","21.72",
"Arizona","2013","269967.4","0.7","7.75","24.94",
"Arkansas","2013","110301.4","2.4","7.24","18.5",
"California","2013","2219610.5","3.5","8.95","28.01",
"Colorado","2013","282605.5","3.3","6.85","34.21",
"Connecticut","2013","238621.4","-2.3","7.81","34.04",
"Delaware","2013","59496.1","-3.8","6.69","27.56",
"District of Columbia","2013","112811.4","0.2","8.49","50.67",
"Florida","2013","784238.4","2","7.23","25.35",
